Word Order	Other Properties	Subject Position	Object Position	Sentence					Subj preceds obj	Is ambiguous	Not amb, subj before obj	Not amb, obj before subj		Satzl�nge	Is pp/aux	
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb leben die Läden kein Doppelleben .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-sinst	3	5	Leben die Läden kein Doppelleben ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Läden kein Doppelleben leben .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Werbeagentur übertextet keine Aufnahmen .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Aufnahmen übertextet die Werbeagentur .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb übertextet die Werbeagentur keine Aufnahmen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-sinst	3	5	Übertextet die Werbeagentur keine Aufnahmen ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Werbeagentur keine Aufnahmen übertextet .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Gemeinde spielt keine Traumhochzeiten .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Traumhochzeiten spielt die Gemeinde .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb spielt die Gemeinde keine Traumhochzeiten .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-sinst	3	5	Spielt die Gemeinde keine Traumhochzeiten ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Gemeinde keine Traumhochzeiten spielt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Das Dorf bewirft keine Kunstwerke .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Kunstwerke bewirft das Dorf .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb bewirft das Dorf keine Kunstwerke .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-sinst	3	5	Bewirft das Dorf keine Kunstwerke ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-sinst	3	5	Weil das Dorf keine Kunstwerke bewirft .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Das Büro findet keine Lösungen .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Lösungen findet das Büro .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb findet das Büro keine Lösungen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-sinst	3	5	Findet das Büro keine Lösungen ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-sinst	3	5	Weil das Büro keine Lösungen findet .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Praxis abonniert keine Zeitschriften .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Zeitschriften abonniert die Praxis .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb abonniert die Praxis keine Zeitschriften .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-sinst	3	5	Abonniert die Praxis keine Zeitschriften ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Praxis keine Zeitschriften abonniert .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Der Salon rasiert keinen Bart .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keinen Bart rasiert der Salon .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb rasiert der Salon keinen Bart .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-sinst	3	5	Rasiert der Salon keinen Bart ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-sinst	3	5	Weil der Salon keinen Bart rasiert .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Redaktion trinkt keine Kaffees .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Kaffees trinkt die Redaktion .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb trinkt die Redaktion keine Kaffees .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-sinst	3	5	Trinkt die Redaktion keine Kaffees ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Redaktion keine Kaffees trinkt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Das Seminar schreibt keinen Roman .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keinen Roman schreibt das Seminar .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb schreibt das Seminar keinen Roman .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-sinst	3	5	Schreibt das Seminar keinen Roman ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-sinst	3	5	Weil das Seminar keinen Roman schreibt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Das Landratsamt beendet keine Reden .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Reden beendet das Landratsamt .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb beendet das Landratsamt keine Reden .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-sinst	3	5	Beendet das Landratsamt keine Reden ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-sinst	3	5	Weil das Landratsamt keine Reden beendet .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Schulen bekommen kein Grundgehalt .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Kein Grundgehalt bekommen die Schulen .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb bekommen die Schulen kein Grundgehalt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-sinst	3	5	Bekommen die Schulen kein Grundgehalt ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Schulen kein Grundgehalt bekommen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Werkstatt zieht keinen Bauzaun .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keinen Bauzaun zieht die Werkstatt .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb zieht die Werkstatt keinen Bauzaun .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-sinst	3	5	Zieht die Werkstatt keinen Bauzaun ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Werkstatt keinen Bauzaun zieht .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Universitäten gewinnen keine Tour .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Tour gewinnen die Universitäten .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb gewinnen die Universitäten keine Tour .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-sinst	3	5	Gewinnen die Universitäten keine Tour ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Universitäten keine Tour gewinnen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Der Konzern übernimmt keine Bauausführungen .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Bauausführungen übernimmt der Konzern .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb übernimmt der Konzern keine Bauausführungen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-sinst	3	5	Übernimmt der Konzern keine Bauausführungen ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-sinst	3	5	Weil der Konzern keine Bauausführungen übernimmt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	pp-sinst	2	8	Die Kanzlei startet in dem Jahr einen Angriff .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-sinst	8	2	Einen Angriff startet in dem Jahr die Kanzlei .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-sinst	7	9	Deshalb startet in dem Jahr die Kanzlei einen Angriff .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-sinst	6	8	Startet in dem Jahr die Kanzlei einen Angriff ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr die Kanzlei einen Angriff startet .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-sinst	2	8	Der Laden lebt in dem Jahr ein Doppelleben .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-sinst	8	2	Ein Doppelleben lebt in dem Jahr der Laden .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-sinst	7	9	Deshalb lebt in dem Jahr der Laden ein Doppelleben .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-sinst	6	8	Lebt in dem Jahr der Laden ein Doppelleben ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr der Laden ein Doppelleben lebt .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-sinst	2	8	Die Werbeagenturen übertexten in dem Jahr eine Aufnahme .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-sinst	8	2	Eine Aufnahme übertexten in dem Jahr die Werbeagenturen .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-sinst	7	9	Deshalb übertexten in dem Jahr die Werbeagenturen eine Aufnahme .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-sinst	6	8	Übertexten in dem Jahr die Werbeagenturen eine Aufnahme ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr die Werbeagenturen eine Aufnahme übertexten .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-sinst	2	8	Die Gemeinden spielen in dem Jahr eine Traumhochzeit .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-sinst	8	2	Eine Traumhochzeit spielen in dem Jahr die Gemeinden .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-sinst	7	9	Deshalb spielen in dem Jahr die Gemeinden eine Traumhochzeit .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-sinst	6	8	Spielen in dem Jahr die Gemeinden eine Traumhochzeit ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr die Gemeinden eine Traumhochzeit spielen .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-sinst	2	8	Die Dörfer bewerfen in dem Jahr ein Kunstwerk .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-sinst	8	2	Ein Kunstwerk bewerfen in dem Jahr die Dörfer .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-sinst	7	9	Deshalb bewerfen in dem Jahr die Dörfer ein Kunstwerk .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-sinst	6	8	Bewerfen in dem Jahr die Dörfer ein Kunstwerk ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr die Dörfer ein Kunstwerk bewerfen .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-sinst	2	8	Die Büros finden in dem Jahr eine Lösung .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-sinst	8	2	Eine Lösung finden in dem Jahr die Büros .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-sinst	7	9	Deshalb finden in dem Jahr die Büros eine Lösung .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-sinst	6	8	Finden in dem Jahr die Büros eine Lösung ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr die Büros eine Lösung finden .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-sinst	2	8	Die Praxen abonnieren in dem Jahr eine Zeitschrift .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-sinst	8	2	Eine Zeitschrift abonnieren in dem Jahr die Praxen .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-sinst	7	9	Deshalb abonnieren in dem Jahr die Praxen eine Zeitschrift .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-sinst	6	8	Abonnieren in dem Jahr die Praxen eine Zeitschrift ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr die Praxen eine Zeitschrift abonnieren .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-sinst	2	7	Der Salon rasiert in dem Jahr Bärte .					WAHR	FALSCH	WAHR	FALSCH		7	1	5
VF[O]LK[V]MF[S]	pp-sinst	7	1	Bärte rasiert in dem Jahr der Salon .					FALSCH	FALSCH	FALSCH	WAHR		7	1	6
LK[V]MF[SO]	pp-sinst	7	8	Deshalb rasiert in dem Jahr der Salon Bärte .					WAHR	FALSCH	WAHR	FALSCH		8	1	1
LK[V]MF[SO]Q	pp-sinst	6	7	Rasiert in dem Jahr der Salon Bärte ?					WAHR	FALSCH	WAHR	FALSCH		7	1	1
MF[SO]VC[V]	pp-sinst	6	7	Weil in dem Jahr der Salon Bärte rasiert .					WAHR	FALSCH	WAHR	FALSCH		8	1	1
VF[S]LK[V]MF[O]	pp-sinst	2	8	Die Redaktion trinkt in dem Jahr einen Kaffee .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-sinst	8	2	Einen Kaffee trinkt in dem Jahr die Redaktion .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-sinst	7	9	Deshalb trinkt in dem Jahr die Redaktion einen Kaffee .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-sinst	6	8	Trinkt in dem Jahr die Redaktion einen Kaffee ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr die Redaktion einen Kaffee trinkt .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-sinst	2	8	Das Seminar schreibt in dem Jahr einen Roman .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-sinst	8	2	Einen Roman schreibt in dem Jahr das Seminar .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-sinst	7	9	Deshalb schreibt in dem Jahr das Seminar einen Roman .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-sinst	6	8	Schreibt in dem Jahr das Seminar einen Roman ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr das Seminar einen Roman schreibt .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-sinst	2	8	Die Landratsämter beenden in dem Jahr eine Rede .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-sinst	8	2	Eine Rede beenden in dem Jahr die Landratsämter .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-sinst	7	9	Deshalb beenden in dem Jahr die Landratsämter eine Rede .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-sinst	6	8	Beenden in dem Jahr die Landratsämter eine Rede ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr die Landratsämter eine Rede beenden .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-sinst	2	8	Die Schulen bekommen in dem Jahr ein Grundgehalt .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-sinst	8	2	Ein Grundgehalt bekommen in dem Jahr die Schulen .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-sinst	7	9	Deshalb bekommen in dem Jahr die Schulen ein Grundgehalt .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-sinst	6	8	Bekommen in dem Jahr die Schulen ein Grundgehalt ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr die Schulen ein Grundgehalt bekommen .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-sinst	2	8	Die Werkstatt zieht in dem Jahr einen Bauzaun .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-sinst	8	2	Einen Bauzaun zieht in dem Jahr die Werkstatt .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-sinst	7	9	Deshalb zieht in dem Jahr die Werkstatt einen Bauzaun .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-sinst	6	8	Zieht in dem Jahr die Werkstatt einen Bauzaun ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr die Werkstatt einen Bauzaun zieht .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-sinst	2	8	Die Universitäten gewinnen in dem Jahr eine Tour .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-sinst	8	2	Eine Tour gewinnen in dem Jahr die Universitäten .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-sinst	7	9	Deshalb gewinnen in dem Jahr die Universitäten eine Tour .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-sinst	6	8	Gewinnen in dem Jahr die Universitäten eine Tour ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr die Universitäten eine Tour gewinnen .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-sinst	2	8	Der Konzern übernimmt in dem Jahr eine Bauausführung .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-sinst	8	2	Eine Bauausführung übernimmt in dem Jahr der Konzern .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-sinst	7	9	Deshalb übernimmt in dem Jahr der Konzern eine Bauausführung .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-sinst	6	8	Übernimmt in dem Jahr der Konzern eine Bauausführung ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr der Konzern eine Bauausführung übernimmt .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-sinst	2	5	Der Salon ernennt einen Vertreter .					WAHR	FALSCH	WAHR	FALSCH		5	1	3
VF[O]LK[V]MF[S]	pp-sinst	5	2	Einen Vertreter ernennt der Salon .					FALSCH	FALSCH	FALSCH	WAHR		5	1	3
LK[V]MF[SO]	pp-sinst	4	6	Deshalb ernennt der Salon einen Vertreter .					WAHR	FALSCH	WAHR	FALSCH		6	1	2
LK[V]MF[SO]Q	pp-sinst	3	5	Ernennt der Salon einen Vertreter ?					WAHR	FALSCH	WAHR	FALSCH		5	1	2
MF[SO]VC[V]	pp-sinst	3	5	Weil der Salon einen Vertreter ernennt .					WAHR	FALSCH	WAHR	FALSCH		6	1	2
VF[S]LK[V]MF[O]	oan-sinst	2	5	Die Kanzlei befragt einen EZB-Chef .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oan-sinst	5	2	Einen EZB-Chef befragt die Kanzlei .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oan-sinst	4	6	Deshalb befragt die Kanzlei einen EZB-Chef .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oan-sinst	3	5	Befragt die Kanzlei einen EZB-Chef ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oan-sinst	3	5	Weil die Kanzlei einen EZB-Chef befragt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oan-sinst	2	5	Die Dörfer füttern eine Spinne .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oan-sinst	5	2	Eine Spinne füttern die Dörfer .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oan-sinst	4	6	Deshalb füttern die Dörfer eine Spinne .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oan-sinst	3	5	Füttern die Dörfer eine Spinne ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oan-sinst	3	5	Weil die Dörfer eine Spinne füttern .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oan-sinst	2	5	Das Büro kratzt einen Hundehalter .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oan-sinst	5	2	Einen Hundehalter kratzt das Büro .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oan-sinst	4	6	Deshalb kratzt das Büro einen Hundehalter .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oan-sinst	3	5	Kratzt das Büro einen Hundehalter ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oan-sinst	3	5	Weil das Büro einen Hundehalter kratzt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oan-sinst	2	5	Die Läden streifen einen Koch .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oan-sinst	5	2	Einen Koch streifen die Läden .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oan-sinst	4	6	Deshalb streifen die Läden einen Koch .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oan-sinst	3	5	Streifen die Läden einen Koch ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oan-sinst	3	5	Weil die Läden einen Koch streifen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oan-sinst	2	5	Die Praxis nimmt einen Bewerber .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oan-sinst	5	2	Einen Bewerber nimmt die Praxis .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oan-sinst	4	6	Deshalb nimmt die Praxis einen Bewerber .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oan-sinst	3	5	Nimmt die Praxis einen Bewerber ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oan-sinst	3	5	Weil die Praxis einen Bewerber nimmt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oan-sinst	2	5	Die Werbeagentur kopiert einen Jazz-Pianisten .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oan-sinst	5	2	Einen Jazz-Pianisten kopiert die Werbeagentur .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oan-sinst	4	6	Deshalb kopiert die Werbeagentur einen Jazz-Pianisten .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oan-sinst	3	5	Kopiert die Werbeagentur einen Jazz-Pianisten ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oan-sinst	3	5	Weil die Werbeagentur einen Jazz-Pianisten kopiert .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
