Word Order	Other Properties	Subject Position	Object Position	Sentence										Satzl�nge	Is pp/aux	Subj-obj distance			
VF[O]LK[V]MF[S]	aux-sinst	5	2	Ein Grundgehalt wird die Schule bekommen .					FALSCH					6	1	3			
LK[V]MF[SO]	aux-sinst	4	6	Deshalb wird die Schule ein Grundgehalt bekommen .					WAHR					7	1	2			
LK[V]MF[SO]Q	aux-sinst	3	5	Wird die Schule ein Grundgehalt bekommen ?					WAHR					6	1	2			
MF[SO]VC[V]	aux-sinst	3	5	Weil die Schule ein Grundgehalt bekommen wird .					WAHR					7	1	2			
VF[S]LK[V]MF[O]	aux-sinst	2	4	Die Werkstätte werden Bauzäune ziehen .					WAHR					5	1	2			
VF[O]LK[V]MF[S]	aux-sinst	4	1	Bauzäune werden die Werkstätte ziehen .					FALSCH					5	1	3			
LK[V]MF[SO]	aux-sinst	4	5	Deshalb werden die Werkstätte Bauzäune ziehen .					WAHR					6	1	1			
LK[V]MF[SO]Q	aux-sinst	3	4	Werden die Werkstätte Bauzäune ziehen ?					WAHR					5	1	1			
MF[SO]VC[V]	aux-sinst	3	4	Weil die Werkstätte Bauzäune ziehen werden .					WAHR					6	1	1			
VF[S]LK[V]MF[O]	aux-sinst	2	5	Die Universität wird eine Tour gewinnen .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	aux-sinst	5	2	Eine Tour wird die Universität gewinnen .					FALSCH					6	1	3			
LK[V]MF[SO]	aux-sinst	4	6	Deshalb wird die Universität eine Tour gewinnen .					WAHR					7	1	2			
LK[V]MF[SO]Q	aux-sinst	3	5	Wird die Universität eine Tour gewinnen ?					WAHR					6	1	2			
MF[SO]VC[V]	aux-sinst	3	5	Weil die Universität eine Tour gewinnen wird .					WAHR					7	1	2			
VF[S]LK[V]MF[O]	aux-sinst	2	4	Die Konzerne werden Bauausführungen übernehmen .					WAHR					5	1	2			
VF[O]LK[V]MF[S]	aux-sinst	4	1	Bauausführungen werden die Konzerne übernehmen .					FALSCH					5	1	3			
LK[V]MF[SO]	aux-sinst	4	5	Deshalb werden die Konzerne Bauausführungen übernehmen .					WAHR					6	1	1			
LK[V]MF[SO]Q	aux-sinst	3	4	Werden die Konzerne Bauausführungen übernehmen ?					WAHR					5	1	1			
MF[SO]VC[V]	aux-sinst	3	4	Weil die Konzerne Bauausführungen übernehmen werden .					WAHR					6	1	1			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Die Kanzlei startet sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie startet die Kanzlei .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb startet die Kanzlei sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb startet sie die Kanzlei .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Startet die Kanzlei sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Startet sie die Kanzlei ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil die Kanzlei sie startet .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie die Kanzlei startet .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Die Läden leben sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie leben die Läden .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb leben die Läden sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb leben sie die Läden .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Leben die Läden sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Leben sie die Läden ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil die Läden sie leben .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie die Läden leben .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Die Werbeagentur übertextet sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie übertextet die Werbeagentur .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb übertextet die Werbeagentur sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb übertextet sie die Werbeagentur .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Übertextet die Werbeagentur sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Übertextet sie die Werbeagentur ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil die Werbeagentur sie übertextet .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie die Werbeagentur übertextet .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Die Gemeinde spielt sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie spielt die Gemeinde .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb spielt die Gemeinde sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb spielt sie die Gemeinde .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Spielt die Gemeinde sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Spielt sie die Gemeinde ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil die Gemeinde sie spielt .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie die Gemeinde spielt .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Das Dorf bewirft sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie bewirft das Dorf .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb bewirft das Dorf sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb bewirft sie das Dorf .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Bewirft das Dorf sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Bewirft sie das Dorf ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil das Dorf sie bewirft .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie das Dorf bewirft .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Das Büro findet sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie findet das Büro .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb findet das Büro sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb findet sie das Büro .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Findet das Büro sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Findet sie das Büro ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil das Büro sie findet .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie das Büro findet .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Die Praxis abonniert sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie abonniert die Praxis .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb abonniert die Praxis sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb abonniert sie die Praxis .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Abonniert die Praxis sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Abonniert sie die Praxis ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil die Praxis sie abonniert .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie die Praxis abonniert .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Die Salons rasieren sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie rasieren die Salons .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb rasieren die Salons sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb rasieren sie die Salons .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Rasieren die Salons sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Rasieren sie die Salons ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil die Salons sie rasieren .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie die Salons rasieren .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Die Redaktion trinkt sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie trinkt die Redaktion .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb trinkt die Redaktion sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb trinkt sie die Redaktion .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Trinkt die Redaktion sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Trinkt sie die Redaktion ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil die Redaktion sie trinkt .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie die Redaktion trinkt .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Das Seminar schreibt sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie schreibt das Seminar .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb schreibt das Seminar sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb schreibt sie das Seminar .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Schreibt das Seminar sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Schreibt sie das Seminar ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil das Seminar sie schreibt .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie das Seminar schreibt .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Das Landratsamt beendet sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie beendet das Landratsamt .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb beendet das Landratsamt sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb beendet sie das Landratsamt .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Beendet das Landratsamt sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Beendet sie das Landratsamt ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil das Landratsamt sie beendet .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie das Landratsamt beendet .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Die Schule bekommt sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie bekommt die Schule .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb bekommt die Schule sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb bekommt sie die Schule .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Bekommt die Schule sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Bekommt sie die Schule ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil die Schule sie bekommt .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie die Schule bekommt .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Die Werkstatt zieht sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie zieht die Werkstatt .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb zieht die Werkstatt sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb zieht sie die Werkstatt .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Zieht die Werkstatt sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Zieht sie die Werkstatt ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil die Werkstatt sie zieht .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie die Werkstatt zieht .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Die Universitäten gewinnen sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie gewinnen die Universitäten .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb gewinnen die Universitäten sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb gewinnen sie die Universitäten .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Gewinnen die Universitäten sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Gewinnen sie die Universitäten ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil die Universitäten sie gewinnen .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie die Universitäten gewinnen .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-sinst	2	4	Die Konzerne übernehmen sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-sinst	4	1	Sie übernehmen die Konzerne .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-sinst	4	5	Deshalb übernehmen die Konzerne sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-sinst	5	3	Deshalb übernehmen sie die Konzerne .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-sinst	3	4	Übernehmen die Konzerne sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-sinst	4	2	Übernehmen sie die Konzerne ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-sinst	3	4	Weil die Konzerne sie übernehmen .					WAHR					5	0	1			
MF[OS]VC[V]	opron-sinst	4	2	Weil sie die Konzerne übernehmen .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Kanzleien starten keine Angriffe .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Angriffe starten die Kanzleien .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb starten die Kanzleien keine Angriffe .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Starten die Kanzleien keine Angriffe ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Kanzleien keine Angriffe starten .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Läden leben keine Doppelleben .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Doppelleben leben die Läden .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb leben die Läden keine Doppelleben .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Leben die Läden keine Doppelleben ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Läden keine Doppelleben leben .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Werbeagentur übertextet keine Aufnahme .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Aufnahme übertextet die Werbeagentur .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb übertextet die Werbeagentur keine Aufnahme .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Übertextet die Werbeagentur keine Aufnahme ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Werbeagentur keine Aufnahme übertextet .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Gemeinde spielt keine Traumhochzeit .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Traumhochzeit spielt die Gemeinde .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb spielt die Gemeinde keine Traumhochzeit .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Spielt die Gemeinde keine Traumhochzeit ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Gemeinde keine Traumhochzeit spielt .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Das Dorf bewirft kein Kunstwerk .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Kein Kunstwerk bewirft das Dorf .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb bewirft das Dorf kein Kunstwerk .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Bewirft das Dorf kein Kunstwerk ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil das Dorf kein Kunstwerk bewirft .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Das Büro findet keine Lösung .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Lösung findet das Büro .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb findet das Büro keine Lösung .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Findet das Büro keine Lösung ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil das Büro keine Lösung findet .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Praxis abonniert keine Zeitschrift .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Zeitschrift abonniert die Praxis .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb abonniert die Praxis keine Zeitschrift .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Abonniert die Praxis keine Zeitschrift ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Praxis keine Zeitschrift abonniert .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Salons rasieren keine Bärte .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Bärte rasieren die Salons .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb rasieren die Salons keine Bärte .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Rasieren die Salons keine Bärte ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Salons keine Bärte rasieren .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Redaktionen trinken keine Kaffees .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Kaffees trinken die Redaktionen .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb trinken die Redaktionen keine Kaffees .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Trinken die Redaktionen keine Kaffees ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Redaktionen keine Kaffees trinken .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Seminare schreiben keine Romane .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Romane schreiben die Seminare .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb schreiben die Seminare keine Romane .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Schreiben die Seminare keine Romane ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Seminare keine Romane schreiben .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Das Landratsamt beendet keine Rede .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Rede beendet das Landratsamt .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb beendet das Landratsamt keine Rede .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Beendet das Landratsamt keine Rede ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil das Landratsamt keine Rede beendet .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Schule bekommt kein Grundgehalt .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Kein Grundgehalt bekommt die Schule .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb bekommt die Schule kein Grundgehalt .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Bekommt die Schule kein Grundgehalt ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Schule kein Grundgehalt bekommt .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Werkstätte ziehen keine Bauzäune .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Bauzäune ziehen die Werkstätte .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb ziehen die Werkstätte keine Bauzäune .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Ziehen die Werkstätte keine Bauzäune ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Werkstätte keine Bauzäune ziehen .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Universität gewinnt keine Tour .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Tour gewinnt die Universität .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb gewinnt die Universität keine Tour .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Gewinnt die Universität keine Tour ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Universität keine Tour gewinnt .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	oneg-sinst	2	5	Die Konzerne übernehmen keine Bauausführungen .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	oneg-sinst	5	2	Keine Bauausführungen übernehmen die Konzerne .					FALSCH					5	0	3			
LK[V]MF[SO]	oneg-sinst	4	6	Deshalb übernehmen die Konzerne keine Bauausführungen .					WAHR					6	0	2			
LK[V]MF[SO]Q	oneg-sinst	3	5	Übernehmen die Konzerne keine Bauausführungen ?					WAHR					5	0	2			
MF[SO]VC[V]	oneg-sinst	3	5	Weil die Konzerne keine Bauausführungen übernehmen .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	pp-sinst	2	7	Die Kanzleien starten in dem Jahr Angriffe .					WAHR					7	1	5			
VF[O]LK[V]MF[S]	pp-sinst	7	1	Angriffe starten in dem Jahr die Kanzleien .					FALSCH					7	1	6			
LK[V]MF[SO]	pp-sinst	7	8	Deshalb starten in dem Jahr die Kanzleien Angriffe .					WAHR					8	1	1			
LK[V]MF[SO]Q	pp-sinst	6	7	Starten in dem Jahr die Kanzleien Angriffe ?					WAHR					7	1	1			
MF[SO]VC[V]	pp-sinst	6	7	Weil in dem Jahr die Kanzleien Angriffe starten .					WAHR					8	1	1			
VF[S]LK[V]MF[O]	pp-sinst	2	7	Die Läden leben in dem Jahr Doppelleben .					WAHR					7	1	5			
VF[O]LK[V]MF[S]	pp-sinst	7	1	Doppelleben leben in dem Jahr die Läden .					FALSCH					7	1	6			
LK[V]MF[SO]	pp-sinst	7	8	Deshalb leben in dem Jahr die Läden Doppelleben .					WAHR					8	1	1			
LK[V]MF[SO]Q	pp-sinst	6	7	Leben in dem Jahr die Läden Doppelleben ?					WAHR					7	1	1			
MF[SO]VC[V]	pp-sinst	6	7	Weil in dem Jahr die Läden Doppelleben leben .					WAHR					8	1	1			
VF[S]LK[V]MF[O]	pp-sinst	2	8	Die Werbeagentur übertextet in dem Jahr eine Aufnahme .					WAHR					8	1	6			
VF[O]LK[V]MF[S]	pp-sinst	8	2	Eine Aufnahme übertextet in dem Jahr die Werbeagentur .					FALSCH					8	1	6			
LK[V]MF[SO]	pp-sinst	7	9	Deshalb übertextet in dem Jahr die Werbeagentur eine Aufnahme .					WAHR					9	1	2			
LK[V]MF[SO]Q	pp-sinst	6	8	Übertextet in dem Jahr die Werbeagentur eine Aufnahme ?					WAHR					8	1	2			
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr die Werbeagentur eine Aufnahme übertextet .					WAHR					9	1	2			
VF[S]LK[V]MF[O]	pp-sinst	2	8	Die Gemeinde spielt in dem Jahr eine Traumhochzeit .					WAHR					8	1	6			
VF[O]LK[V]MF[S]	pp-sinst	8	2	Eine Traumhochzeit spielt in dem Jahr die Gemeinde .					FALSCH					8	1	6			
LK[V]MF[SO]	pp-sinst	7	9	Deshalb spielt in dem Jahr die Gemeinde eine Traumhochzeit .					WAHR					9	1	2			
LK[V]MF[SO]Q	pp-sinst	6	8	Spielt in dem Jahr die Gemeinde eine Traumhochzeit ?					WAHR					8	1	2			
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr die Gemeinde eine Traumhochzeit spielt .					WAHR					9	1	2			
VF[S]LK[V]MF[O]	pp-sinst	2	8	Das Dorf bewirft in dem Jahr ein Kunstwerk .					WAHR					8	1	6			
VF[O]LK[V]MF[S]	pp-sinst	8	2	Ein Kunstwerk bewirft in dem Jahr das Dorf .					FALSCH					8	1	6			
LK[V]MF[SO]	pp-sinst	7	9	Deshalb bewirft in dem Jahr das Dorf ein Kunstwerk .					WAHR					9	1	2			
LK[V]MF[SO]Q	pp-sinst	6	8	Bewirft in dem Jahr das Dorf ein Kunstwerk ?					WAHR					8	1	2			
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr das Dorf ein Kunstwerk bewirft .					WAHR					9	1	2			
VF[S]LK[V]MF[O]	pp-sinst	2	8	Das Büro findet in dem Jahr eine Lösung .					WAHR					8	1	6			
VF[O]LK[V]MF[S]	pp-sinst	8	2	Eine Lösung findet in dem Jahr das Büro .					FALSCH					8	1	6			
LK[V]MF[SO]	pp-sinst	7	9	Deshalb findet in dem Jahr das Büro eine Lösung .					WAHR					9	1	2			
LK[V]MF[SO]Q	pp-sinst	6	8	Findet in dem Jahr das Büro eine Lösung ?					WAHR					8	1	2			
MF[SO]VC[V]	pp-sinst	6	8	Weil in dem Jahr das Büro eine Lösung findet .					WAHR					9	1	2			
VF[S]LK[V]MF[O]	pp-sinst	2	8	Die Praxis abonniert in dem Jahr eine Zeitschrift .					WAHR					8	1	6			
